revenue,rating
72526996.0,6.6
31500000.0,8.1
63523283.0,5.3
91627228.0,5.5
209838559.0,6.6
260100000.0,6.8
63543328.0,6.6
0.0,6.961
75500000.0,6.152
0.0,6.6
120081841.0,6.8
85412898.0,7.2
0.0,6.9
31505287.0,6.2
89792502.0,6.2
3909002.0,6.9
57777106.0,6.3
35690739.0,7.6
1681521.0,7.6
3424648.0,6.7
160078586.0,6.2
85564310.0,4.7
82686066.0,5.5
174822325.0,5.621
127900000.0,6.762
0.0,5.1
110206216.0,7.3
150406466.0,6.2
0.0,7.3
0.0,6.466
78396.0,5.399
177584879.0,7.3
137551594.0,6.6
0.0,7.1
0.0,7.372
216197492.0,5.6
39000000.0,5.949
0.0,7.147
108609310.0,6.0
5151023.0,6.1
0.0,7.1
246091.0,6.9
80600000.0,6.621
39800000.0,6.6
185770160.0,7.2
189712432.0,5.862
207039844.0,5.9
169900000.0,5.42
64626786.0,5.3
13500000.0,5.1
0.0,7.0
132274484.0,5.8
76338111.0,6.7
149700000.0,4.4
0.0,6.3
0.0,6.671
187361754.0,6.0
152930623.0,6.106
41002607.0,6.2
