country,release_year,language,budget,cast_numbers,genre_numbers,director_number,first_genre,month_name,day,mean,std,var,labels
United States of America,2010.0,en,0.0,5.0,3.0,1.0,Drama,August,17.0,0.0296,0.0642,0.0041,30.0
"Japan, United Kingdom",2010.0,ja,6000000.0,5.0,3.0,1.0,Adventure,September,9.0,0.0247,0.0663,0.0044,1.0
United States of America,2010.0,en,35000000.0,5.0,1.0,1.0,Drama,August,20.0,0.0287,0.0646,0.0042,20.0
United States of America,2010.0,en,50000000.0,5.0,2.0,1.0,Drama,October,22.0,0.0212,0.0675,0.0046,42.0
Australia,2010.0,en,27000000.0,5.0,3.0,1.0,Action,August,8.0,0.0294,0.0643,0.0041,37.0
United States of America,2010.0,en,3500000.0,5.0,4.0,1.0,Science Fiction,September,28.0,0.0236,0.0667,0.0044,14.0
United States of America,2010.0,en,0.0,5.0,4.0,1.0,Romance,February,14.0,0.0283,0.0648,0.0042,21.0
United States of America,2010.0,en,75000000.0,5.0,4.0,1.0,Action,June,4.0,0.0254,0.066,0.0044,25.0
South Korea,2010.0,ko,700000.0,5.0,4.0,1.0,Thriller,August,19.0,0.0165,0.0688,0.0047,45.0
"Belgium, Spain",2010.0,es,0.0,5.0,2.0,1.0,Horror,August,16.0,0.026,0.0658,0.0043,33.0
United States of America,2010.0,en,20000000.0,5.0,3.0,1.0,Comedy,October,15.0,0.0273,0.0652,0.0043,5.0
"South Africa, United States of America",2010.0,en,0.0,5.0,3.0,1.0,Family,March,23.0,0.0284,0.0648,0.0042,15.0
United States of America,2010.0,en,500000.0,5.0,1.0,1.0,Comedy,October,17.0,0.0211,0.0675,0.0046,23.0
"United States of America, New Zealand",2010.0,en,80000000.0,5.0,4.0,1.0,Comedy,December,17.0,0.02,0.0678,0.0046,21.0
"Belgium, France, Italy, United States of America",2010.0,en,0.0,5.0,2.0,1.0,Animation,August,4.0,0.0346,0.0616,0.0038,23.0
Japan,2010.0,ja,0.0,5.0,5.0,2.0,Animation,February,5.0,0.0332,0.0624,0.0039,7.0
United States of America,2010.0,en,55000000.0,5.0,3.0,1.0,Comedy,April,8.0,0.0237,0.0666,0.0044,37.0
Japan,2010.0,ja,0.0,5.0,1.0,1.0,Drama,September,18.0,0.0304,0.0638,0.0041,19.0
United States of America,2010.0,en,10000000.0,5.0,3.0,1.0,Horror,September,16.0,0.0201,0.0678,0.0046,6.0
United States of America,2010.0,en,0.0,5.0,2.0,1.0,Drama,July,19.0,0.0252,0.0661,0.0044,16.0
Japan,2010.0,ja,0.0,5.0,2.0,1.0,Animation,January,23.0,0.0283,0.0648,0.0042,33.0
United States of America,2010.0,en,35000000.0,5.0,2.0,1.0,Comedy,April,23.0,0.0272,0.0653,0.0043,15.0
Japan,2010.0,ja,0.0,5.0,4.0,1.0,Family,July,10.0,0.0195,0.068,0.0046,2.0
United States of America,2010.0,en,9500000.0,5.0,3.0,1.0,Crime,September,10.0,0.0301,0.064,0.0041,16.0
United States of America,2010.0,en,0.0,5.0,1.0,2.0,Documentary,May,4.0,0.0245,0.0663,0.0044,50.0
France,2010.0,fr,4000000.0,5.0,2.0,1.0,Drama,September,8.0,0.0267,0.0655,0.0043,14.0
"United Kingdom, United States of America",2010.0,en,10000000.0,5.0,3.0,1.0,Horror,September,13.0,0.0263,0.0656,0.0043,13.0
United States of America,2010.0,en,0.0,5.0,4.0,2.0,Animation,August,24.0,0.0233,0.0667,0.0045,44.0
China,2010.0,zh,0.0,5.0,2.0,1.0,Drama,September,16.0,0.0275,0.0651,0.0042,5.0
"Netherlands, United States of America",2010.0,en,2000000.0,5.0,2.0,1.0,Drama,June,11.0,0.0248,0.0662,0.0044,15.0
United Kingdom,2010.0,en,500000.0,5.0,3.0,1.0,Drama,June,18.0,0.0298,0.0641,0.0041,13.0
"France, Japan",2010.0,ja,0.0,5.0,4.0,1.0,Action,May,17.0,0.0252,0.0661,0.0044,21.0
"China, Hong Kong, Taiwan",2010.0,zh,12000000.0,5.0,2.0,1.0,Action,September,1.0,0.0276,0.0651,0.0042,41.0
"United Kingdom, Hungary",2010.0,en,90000000.0,5.0,4.0,1.0,Music,November,24.0,0.0166,0.0687,0.0047,43.0
United States of America,2010.0,en,2500000.0,5.0,3.0,1.0,Comedy,November,26.0,0.0252,0.0661,0.0044,53.0
United States of America,2010.0,en,2500000.0,5.0,3.0,1.0,Horror,October,1.0,0.0237,0.0666,0.0044,13.0
Canada,2010.0,en,2181579.0,5.0,4.0,1.0,Comedy,October,9.0,0.0272,0.0653,0.0043,33.0
