Symbol,Description (EN),Name (HE),Type (HE),Exchange,Current,High,Low,Open,Previous Close,Timestamp,Previous Close (from last fetch),Change,Change %,usd-ils
ADBE,ADBE,אדובי,מניה,NASDAQ NMS - GLOBAL MARKET,361.78,368.73,361.30,364.18,364.08,23/09/2025 23:00:00,364.08,-2.3,-0.63,3.34508462
AAPL,AAPL,אפל,מניה,NASDAQ NMS - GLOBAL MARKET,254.43,257.34,253.58,255.88,256.08,23/09/2025 23:00:00,256.08,-1.65,-0.64,3.34508462
XNCR,XNCR,אקסינקר,מניה,NASDAQ NMS - GLOBAL MARKET,10.32,10.54,10.25,10.40,10.39,23/09/2025 23:00:00,10.39,-0.07,-0.67,3.34508462
NRXP,NRXP,נירוקס,מניה,NASDAQ NMS - GLOBAL MARKET,2.85,2.94,2.81,2.87,2.87,23/09/2025 23:00:00,2.87,-0.02,-0.7,3.34508462
BABA,BABA,עליבאבא,מניה,"NEW YORK STOCK EXCHANGE, INC.",163.08,167.83,162.80,165.01,164.25,23/09/2025 23:00:00,164.25,-1.17,-0.71,3.34508462
NFLX,NFLX,נטפליקס,מניה,NASDAQ NMS - GLOBAL MARKET,1218.47,"1,227.79","1,208.47","1,227.33","1,227.37",23/09/2025 23:00:00,1227.37,-8.9,-0.73,3.34508462
IMNN,IMNN,אימוניטון,מניה,NASDAQ NMS - GLOBAL MARKET,5.11,5.44,5.11,5.22,5.15,23/09/2025 23:00:00,5.15,-0.04,-0.78,3.34508462
VRTX,VRTX,וורטקס,מניה,NASDAQ NMS - GLOBAL MARKET,379.72,383.50,376.00,381.59,383.13,23/09/2025 23:00:00,383.13,-3.41,-0.89,3.34508462
WFC,WFC,וולס פארגו,מניה,"NEW YORK STOCK EXCHANGE, INC.",84.37,86.66,83.67,85.15,85.16,23/09/2025 23:00:00,85.16,-0.79,-0.93,3.34508462
TXMD,TXMD,תרפיה,מניה,NASDAQ NMS - GLOBAL MARKET,1.07,1.09,1.06,1.06,1.08,23/09/2025 23:00:00,1.08,-0.01,-0.93,3.34508462
BIIB,BIIB,BIIB,מניה,NASDAQ NMS - GLOBAL MARKET,139.31,141.38,138.73,140.27,140.66,23/09/2025 23:00:00,140.66,-1.35,-0.96,3.34508462
ZOM,ZOM,זום,מניה,NYSE MKT LLC,0.0822,0.09,0.08,0.08,0.08,23/09/2025 03:00:00,0.083,-0.0008,-0.96,3.34508462
ALNY,ALNY,אלנילאם,מניה,NASDAQ NMS - GLOBAL MARKET,454.41,457.47,450.50,452.83,458.92,23/09/2025 23:00:00,458.92,-4.51,-0.98,3.34508462
REMX,REMX,VanEck Rare Earth/Strategic Metals ETF,מניה,Unknown,61.16,62.10,60.92,61.75,61.78,23/09/2025 23:00:00,61.78,-0.62,-1,3.34508462
MSFT,MSFT,מיקרוסופט,מניה,NASDAQ NMS - GLOBAL MARKET,509.23,514.59,507.31,513.80,514.45,23/09/2025 23:00:00,514.45,-5.22,-1.01,3.34508462
ZM,ZM,ZM,מניה,NASDAQ NMS - GLOBAL MARKET,82.58,84.02,81.99,83.66,83.53,23/09/2025 23:00:00,83.53,-0.95,-1.14,3.34508462
MRVL,MRVL,MRVL,מניה,NASDAQ NMS - GLOBAL MARKET,74.62,76.35,74.02,75.39,75.53,23/09/2025 23:00:00,75.53,-0.91,-1.2,3.34508462
OSUR,OSUR,אוסיריס,מניה,NASDAQ NMS - GLOBAL MARKET,3.28,3.39,3.25,3.31,3.32,23/09/2025 23:00:00,3.32,-0.04,-1.2,3.34508462
META,META,מטא (פייסבוק),מניה,NASDAQ NMS - GLOBAL MARKET,755.4,770.60,751.07,769.25,765.16,23/09/2025 23:00:00,765.16,-9.76,-1.28,3.34508462
ARKK,ARKK,ARK Innovation ETF,מניה,Unknown,83.58,85.33,83.18,85.17,84.69,23/09/2025 23:00:00,84.69,-1.11,-1.31,3.34508462
TCOM,TCOM,טריפ.קום,מניה,HONG KONG EXCHANGES AND CLEARING LTD,76.71,77.60,76.60,77.09,77.82,23/09/2025 23:00:00,77.82,-1.11,-1.43,3.34508462
NVMI,NVMI,נובומיט,מניה,NASDAQ NMS - GLOBAL MARKET,310.88,316.55,306.78,315.27,315.41,23/09/2025 23:00:00,315.41,-4.53,-1.44,3.34508462
ARKF,ARKF,ARK Fintech Innovation ETF,מניה,Unknown,56.35,57.44,55.95,57.22,57.19,23/09/2025 23:00:00,57.19,-0.84,-1.47,3.34508462
ADP,ADP,ADP,מניה,NASDAQ NMS - GLOBAL MARKET,289.215,293.49,287.31,292.21,293.66,23/09/2025 23:00:00,293.66,-4.445,-1.51,3.34508462
ABNB,ABNB,איירבינבי,מניה,NASDAQ NMS - GLOBAL MARKET,123.5,126.86,123.05,125.44,125.44,23/09/2025 23:00:00,125.44,-1.94,-1.55,3.34508462
MIND,MIND,מינד CTI,מניה,NASDAQ NMS - GLOBAL MARKET,8.73,9.15,8.53,9.01,8.87,23/09/2025 23:00:00,8.87,-0.14,-1.58,3.34508462
UBER,UBER,אובר,מניה,"NEW YORK STOCK EXCHANGE, INC.",97.8,100.18,97.65,99.86,99.39,23/09/2025 23:00:00,99.39,-1.59,-1.6,3.34508462
V,V,ויזה,מניה,"NEW YORK STOCK EXCHANGE, INC.",338.7,345.26,337.63,344.59,344.36,23/09/2025 23:00:00,344.36,-5.66,-1.64,3.34508462
IBEX,IBEX,אייבקס,מניה,NASDAQ NMS - GLOBAL MARKET,41.26,42.08,41.07,41.98,41.96,23/09/2025 23:00:00,41.96,-0.7,-1.67,3.34508462
SPGI,SPGI,S&P גלובל,מניה,"NEW YORK STOCK EXCHANGE, INC.",496.76,507.00,493.06,505.60,505.57,23/09/2025 23:00:00,505.57,-8.81,-1.74,3.34508462
XOS,XOS,Xos,מניה,NASDAQ NMS - GLOBAL MARKET,2.82,3.09,2.82,2.90,2.87,23/09/2025 23:00:00,2.87,-0.05,-1.74,3.34508462
BLNK,BLNK,בלינק צ'רג'ינג,מניה,NASDAQ NMS - GLOBAL MARKET,1.59,1.72,1.57,1.64,1.62,23/09/2025 23:00:00,1.62,-0.03,-1.85,3.34508462
BOSC,BOSC,בוסק,מניה,NASDAQ NMS - GLOBAL MARKET,4.74,4.92,4.70,4.86,4.83,23/09/2025 22:59:54,4.83,-0.09,-1.86,3.34508462
SPCB,SPCB,סופר קומ,מניה,NASDAQ NMS - GLOBAL MARKET,12.54,13.00,12.23,12.90,12.78,23/09/2025 23:00:00,12.78,-0.24,-1.88,3.34508462
DXCM,DXCM,דקסקום,מניה,NASDAQ NMS - GLOBAL MARKET,68.2,69.98,68.03,69.01,69.51,23/09/2025 23:00:00,69.51,-1.31,-1.88,3.34508462
TSLA,TSLA,טסלה,מניה,NASDAQ NMS - GLOBAL MARKET,425.85,440.97,423.72,439.88,434.21,23/09/2025 23:00:00,434.21,-8.36,-1.93,3.34508462
AZN,AZN,אסטרה זנקה,מניה,LONDON STOCK EXCHANGE,75.97,76.86,75.90,76.61,77.50,23/09/2025 23:00:00,77.5,-1.53,-1.97,3.34508462
INCR,INCR,אינקר,מניה,TEL AVIV STOCK EXCHANGE,1.45,1.49,1.45,1.48,1.48,23/09/2025 23:00:00,1.48,-0.03,-2.03,3.34508462
CRM,CRM,סיילספורס,מניה,"NEW YORK STOCK EXCHANGE, INC.",244.56,251.36,244.13,249.74,249.69,23/09/2025 23:00:00,249.69,-5.13,-2.05,3.34508462
ILMN,ILMN,ILMN,מניה,NASDAQ NMS - GLOBAL MARKET,99.37,102.91,98.87,101.34,101.49,23/09/2025 23:00:00,101.49,-2.12,-2.09,3.34508462
NOW,NOW,NOW,מניה,"NEW YORK STOCK EXCHANGE, INC.",927.67,950.50,926.45,947.56,947.78,23/09/2025 23:00:00,947.78,-20.11,-2.12,3.34508462
CRSP,CRSP,קריספר,מניה,NASDAQ NMS - GLOBAL MARKET,60.76,63.63,60.31,61.63,62.10,23/09/2025 23:00:00,62.1,-1.34,-2.16,3.34508462
NET,NET,קלאודפלייר,מניה,"NEW YORK STOCK EXCHANGE, INC.",223.26,228.34,219.55,228.34,228.28,23/09/2025 23:00:00,228.28,-5.02,-2.2,3.34508462
NVAX,NVAX,נובאווקס,מניה,NASDAQ NMS - GLOBAL MARKET,8.67,9.04,8.66,8.90,8.87,23/09/2025 23:00:00,8.87,-0.2,-2.25,3.34508462
FSLY,FSLY,פאסטלי,מניה,"NEW YORK STOCK EXCHANGE, INC.",8.56,9.08,8.49,8.79,8.76,23/09/2025 23:00:00,8.76,-0.2,-2.28,3.34508462
